101111101111110110110,001111110000000100101,001111110001101111111,0011111100000001,0011111100011100
101111101111110001010,001111110000000111011,001111110001110001100,0011111100000010,0011111100011100
101111101111101011101,001111110000001010010,001111110001110011010,0011111100000010,0011111100011101
101111101111100110001,001111110000001101000,001111110001110101000,0011111100000011,0011111100011101
101111101111100000100,001111110000001111110,001111110001110110110,0011111100000100,0011111100011110
101111101111011011000,001111110000010010100,001111110001111000011,0011111100000100,0011111100011110
101111101111010101100,001111110000010101010,001111110001111010001,0011111100000101,0011111100011110
101111101111001111111,001111110000011000000,001111110001111011111,0011111100000110,0011111100011111
101111101111001010011,001111110000011010110,001111110001111101100,0011111100000110,0011111100011111
101111101111000100111,001111110000011101100,001111110001111111010,0011111100000111,0011111100011111
101111101110111111010,001111110000100000011,001111110010000001000,0011111100001000,0011111100100000
101111101110111001110,001111110000100011001,001111110010000010110,0011111100001001,0011111100100000
101111101110110100010,001111110000100101111,001111110010000100100,0011111100001001,0011111100100001
101111101110101110101,001111110000101000110,001111110010000110010,0011111100001010,0011111100100010
101111101110101001001,001111110000101011100,001111110010001000000,0011111100001011,0011111100100010
101111101110100011100,001111110000101110010,001111110010001001110,0011111100001100,0011111100100010
101111101110011110000,001111110000110001000,001111110010001011100,0011111100001100,0011111100100011
101111101110011000100,001111110000110011110,001111110010001101010,0011111100001101,0011111100100011
101111101110010011000,001111110000110110100,001111110010001111000,0011111100001110,0011111100100100
101111101110001101011,001111110000111001010,001111110010010000110,0011111100001110,0011111100100100
101111101110000111111,001111110000111100000,001111110010010010101,0011111100001111,0011111100100100
101111101110000010010,001111110000111110111,001111110010010100011,0011111100001111,0011111100100101
101111101101111100110,001111110001000001101,001111110010010110010,0011111100010000,0011111100100110
101111101101110111010,001111110001000100011,001111110010010111111,0011111100010001,0011111100100110
101111101101110001101,001111110001000111010,001111110010011001110,0011111100010010,0011111100100110
101111101101101100001,001111110001001001111,001111110010011011100,0011111100010010,0011111100100111
101111101101100110100,001111110001001100110,001111110010011101011,0011111100010011,0011111100100111
101111101101100001000,001111110001001111100,001111110010011111010,0011111100010100,0011111100101000
101111101101011011100,001111110001010010010,001111110010100001000,0011111100010100,0011111100101000
101111101101010101111,001111110001010101000,001111110010100010111,0011111100010101,0011111100101000
101111101101010000011,001111110001010111110,001111110010100100110,0011111100010110,0011111100101001
